# Q2 z GE_fit_SBS GE_fit_rat_SBS dGEGD_SBS GM_fit_SBS GM_fit_rat_SBS dGMGD_SBS GEGM_fit_rat_SBS dGEGM_SBS
1.7988709151e-06 -5.1919129489e-01 9.9999455536e-01 9.9999962258e-01 1.9645780663e-07 2.7928317828e+00 9.9999949112e-01 3.8525742842e-07 1.0000001315e+00 4.3245714852e-07
1.8197008586e-06 -5.1919124608e-01 9.9999449231e-01 9.9999961821e-01 1.9872208465e-07 2.7928316025e+00 9.9999948522e-01 3.8969885590e-07 1.0000001330e+00 4.3744245636e-07
1.8407720015e-06 -5.1919119670e-01 9.9999442854e-01 9.9999961379e-01 2.0101899837e-07 2.7928314200e+00 9.9999947926e-01 3.9420427491e-07 1.0000001345e+00 4.4249959751e-07
1.8620871367e-06 -5.1919114675e-01 9.9999436402e-01 9.9999960931e-01 2.0333755276e-07 2.7928312355e+00 9.9999947323e-01 3.9875218299e-07 1.0000001361e+00 4.4760442151e-07
1.8836490895e-06 -5.1919109621e-01 9.9999429876e-01 9.9999960479e-01 2.0567774346e-07 2.7928310489e+00 9.9999946713e-01 4.0334257358e-07 1.0000001377e+00 4.5275692051e-07
1.9054607180e-06 -5.1919104510e-01 9.9999423274e-01 9.9999960021e-01 2.0806154350e-07 2.7928308600e+00 9.9999946096e-01 4.0801842471e-07 1.0000001393e+00 4.5800536383e-07
1.9275249132e-06 -5.1919099339e-01 9.9999416596e-01 9.9999959559e-01 2.1045598116e-07 2.7928306690e+00 9.9999945472e-01 4.1271525067e-07 1.0000001409e+00 4.6327732536e-07
1.9498445998e-06 -5.1919094108e-01 9.9999409841e-01 9.9999959090e-01 2.1288302904e-07 2.7928304758e+00 9.9999944841e-01 4.1747602871e-07 1.0000001425e+00 4.6862107350e-07
1.9724227361e-06 -5.1919088817e-01 9.9999403007e-01 9.9999958616e-01 2.1534268149e-07 2.7928302803e+00 9.9999944202e-01 4.2230075001e-07 1.0000001441e+00 4.7403659786e-07
1.9952623150e-06 -5.1919083465e-01 9.9999396094e-01 9.9999958137e-01 2.1783493285e-07 2.7928300826e+00 9.9999943556e-01 4.2718940571e-07 1.0000001458e+00 4.7952388796e-07
2.0183663637e-06 -5.1919078050e-01 9.9999389101e-01 9.9999957653e-01 2.2034879070e-07 2.7928298826e+00 9.9999942903e-01 4.3212049821e-07 1.0000001475e+00 4.8505879880e-07
2.0417379447e-06 -5.1919072573e-01 9.9999382027e-01 9.9999957162e-01 2.2288425049e-07 2.7928296803e+00 9.9999942241e-01 4.3709402072e-07 1.0000001492e+00 4.9064132231e-07
2.0653801558e-06 -5.1919067032e-01 9.9999374872e-01 9.9999956666e-01 2.2546327959e-07 2.7928294756e+00 9.9999941573e-01 4.4215294108e-07 1.0000001509e+00 4.9631971612e-07
2.0892961309e-06 -5.1919061427e-01 9.9999367633e-01 9.9999956164e-01 2.2806389992e-07 2.7928292685e+00 9.9999940896e-01 4.4725427498e-07 1.0000001527e+00 5.0204570306e-07
2.1134890398e-06 -5.1919055758e-01 9.9999360311e-01 9.9999955657e-01 2.3069709205e-07 2.7928290591e+00 9.9999940212e-01 4.5241950146e-07 1.0000001544e+00 5.0784340618e-07
2.1379620895e-06 -5.1919050022e-01 9.9999352903e-01 9.9999955143e-01 2.3336285016e-07 2.7928288472e+00 9.9999939520e-01 4.5764861149e-07 1.0000001562e+00 5.1371281481e-07
2.1627185237e-06 -5.1919044221e-01 9.9999345410e-01 9.9999954624e-01 2.3605018403e-07 2.7928286329e+00 9.9999938819e-01 4.6292011156e-07 1.0000001580e+00 5.1962978860e-07
2.1877616239e-06 -5.1919038352e-01 9.9999337831e-01 9.9999954098e-01 2.3878105695e-07 2.7928284161e+00 9.9999938111e-01 4.6827696220e-07 1.0000001599e+00 5.2564257685e-07
2.2130947096e-06 -5.1919032415e-01 9.9999330163e-01 9.9999953567e-01 2.4153349465e-07 2.7928281968e+00 9.9999937394e-01 4.7367618611e-07 1.0000001617e+00 5.3170291035e-07
2.2387211386e-06 -5.1919026409e-01 9.9999322407e-01 9.9999953029e-01 2.4431847559e-07 2.7928279750e+00 9.9999936669e-01 4.7913925858e-07 1.0000001636e+00 5.3783490788e-07
2.2646443076e-06 -5.1919020334e-01 9.9999314561e-01 9.9999952485e-01 2.4713599383e-07 2.7928277505e+00 9.9999935936e-01 4.8466617045e-07 1.0000001655e+00 5.4403855856e-07
2.2908676528e-06 -5.1919014189e-01 9.9999306624e-01 9.9999951935e-01 2.4999702578e-07 2.7928275235e+00 9.9999935194e-01 4.9027839338e-07 1.0000001674e+00 5.5033797702e-07
2.3173946500e-06 -5.1919007972e-01 9.9999298595e-01 9.9999951378e-01 2.5287960025e-07 2.7928272939e+00 9.9999934444e-01 4.9593295564e-07 1.0000001693e+00 5.5668490040e-07
2.3442288153e-06 -5.1919001683e-01 9.9999290473e-01 9.9999950815e-01 2.5579469399e-07 2.7928270616e+00 9.9999933685e-01 5.0165132957e-07 1.0000001713e+00 5.6310344405e-07
2.3713737057e-06 -5.1918995322e-01 9.9999282257e-01 9.9999950246e-01 2.5875328216e-07 2.7928268266e+00 9.9999932917e-01 5.0745498459e-07 1.0000001733e+00 5.6961772004e-07
2.3988329190e-06 -5.1918988887e-01 9.9999273946e-01 9.9999949670e-01 2.6173339583e-07 2.7928265888e+00 9.9999932140e-01 5.1330095316e-07 1.0000001753e+00 5.7617947026e-07
2.4266100951e-06 -5.1918982377e-01 9.9999265539e-01 9.9999949087e-01 2.6475699094e-07 2.7928263484e+00 9.9999931354e-01 5.1923218267e-07 1.0000001773e+00 5.8283692896e-07
2.4547089157e-06 -5.1918975792e-01 9.9999257034e-01 9.9999948497e-01 2.6781308011e-07 2.7928261051e+00 9.9999930560e-01 5.2522718497e-07 1.0000001794e+00 5.8956596188e-07
2.4831331053e-06 -5.1918969131e-01 9.9999248431e-01 9.9999947901e-01 2.7090165715e-07 2.7928258591e+00 9.9999929756e-01 5.3128595063e-07 1.0000001815e+00 5.9636655780e-07
2.5118864315e-06 -5.1918962393e-01 9.9999239728e-01 9.9999947298e-01 2.7403369511e-07 2.7928256101e+00 9.9999928942e-01 5.3742994531e-07 1.0000001836e+00 6.0326282448e-07
2.5409727055e-06 -5.1918955576e-01 9.9999230925e-01 9.9999946687e-01 2.7719820770e-07 2.7928253583e+00 9.9999928119e-01 5.4363768292e-07 1.0000001857e+00 6.1023062995e-07
2.5703957828e-06 -5.1918948681e-01 9.9999222019e-01 9.9999946070e-01 2.8039518865e-07 2.7928251036e+00 9.9999927287e-01 5.4990915390e-07 1.0000001878e+00 6.1726996287e-07
2.6001595632e-06 -5.1918941706e-01 9.9999213011e-01 9.9999945445e-01 2.8363560972e-07 2.7928248459e+00 9.9999926445e-01 5.5626582170e-07 1.0000001900e+00 6.2440492841e-07
