Q2,GMn/muGD,dGMn/muGD
0.00013804,0.9999479382357844,0.019586001527322427
0.00013964,0.9999473317565334,0.019585366977457788
0.00014125,0.9999467214167923,0.01958472849723268
0.00014289,0.9999460996320846,0.01958407815654855
0.00014454,0.9999454739825088,0.019583423887735995
0.00014622,0.9999448368817527,0.01958275776162947
0.00014791,0.9999441959116434,0.01958208770968091
0.00014962,0.9999435472774089,0.019581409768131792
0.00015136,0.9999428871824018,0.01958071997417714
0.00015311,0.9999422232111189,0.019580026257911224
0.00015488,0.999941551567319,0.019579324656323626
0.00015668,0.9999408684528213,0.019578611207390257
0.00015849,0.9999401814548896,0.019577893839798417
0.00016032,0.9999394867757662,0.01957716859131048
0.00016218,0.9999387806156878,0.0195764315007078
0.00016406,0.9999380667674659,0.019575686532754533
0.00016596,0.9999373452280691,0.019574933688998302
0.00016788,0.9999366159944346,0.019574172971002998
0.00016982,0.9999358790634684,0.019573404380348568
0.00017179,0.9999351306326386,0.019572623957227354
0.00017378,0.9999343744971224,0.0195718356652017
0.00017579,0.9999336106537163,0.0195710395059084
0.00017783,0.9999328352981487,0.019570231520427108
0.00017989,0.9999320522270805,0.0195694156715656
0.00018197,0.9999312614371986,0.01956859196101757
0.00018408,0.9999304591224364,0.019567756430778422
0.00018621,0.9999296490809949,0.0195669130428728
0.00018836,0.9999288313094518,0.019566061799051144
0.00019055,0.9999279981954221,0.01956519478342735
0.00019275,0.9999271611470458,0.019564323875167922
0.00019498,0.9999263125512503,0.01956344115873752
0.00019724,0.999925452402656,0.01956254663688651
0.00019953,0.9999245806958116,0.019561640312401693
0.00020184,0.9999237012327097,0.019560726145380253
0.00020417,0.9999228140096471,0.01955980413771813
0.00020654,0.9999219114053474,0.019558866378066617
0.00020893,0.9999210010310321,0.019557920782921748
0.00021135,0.9999200790728072,0.01955696339827455
0.0002138,0.99991914552485,0.019555994227106428
0.00021627,0.9999182041926602,0.019555017227727976
0.00021878,0.99991724744816,0.019554024492263143
0.00022131,0.9999162829087931,0.01955302393403708
0.00022387,0.9999153067570852,0.01955201160087169
0.00022646,0.9999143189868883,0.01955098749591807
0.00022909,0.9999133157771449,0.019549947668828054
0.00023174,0.9999123047505306,0.019548900030259872
0.00023442,0.9999112820865549,0.019547840629578702
0.00023714,0.9999102439617921,0.019546765517649327
0.00023988,0.9999091980030089,0.019545682603043197
0.00024266,0.9999081365688889,0.019544583984651066
0.00024547,0.9999070634697743,0.019543473618321865
0.00024831,0.9999059786989382,0.019542351507509027
0.00025119,0.9999048784288187,0.01954121370519624
0.0002541,0.9999037664717626,0.019540064166211322
0.00025704,0.9999026428208145,0.019538902894128275
0.00026002,0.9999015036458175,0.019537725943261173
0.00026303,0.9999003527612028,0.019536537267375555
0.00026607,0.9998991901597862,0.019535336870165867
0.00026915,0.9998980120087387,0.01953412080731681
0.00027227,0.9998968182982455,0.01953288908387223
0.00027542,0.999895612845623,0.01953164565212643
0.00027861,0.9998943918152625,0.019530386569191323
0.00028184,0.9998931551970124,0.019529111840287532
0.0002851,0.9998919068104425,0.019527825416561315
0.0002884,0.9998906428170787,0.019526523356596076
0.00029174,0.9998893632064347,0.019525205665788827
0.00029512,0.9998880679679026,0.019523872349600815
0.00029854,0.9998867570907538,0.019522523413557265
0.000302,0.9998854305641379,0.019521158863247515
0.00030549,0.9998840922123698,0.019519782647397527
0.00030903,0.9998827343547301,0.01951838688509537
0.00031261,0.9998813608143591,0.019516975525673323
0.00031623,0.999879971579924,0.019515548574976397
0.00031989,0.999878566639972,0.019514106038913317
0.00032359,0.9998771459829319,0.01951264792345675
0.00032734,0.9998757057560081,0.0195111702945546
0.00033113,0.9998742497864792,0.019509677099428864
0.00033497,0.9998727742192506,0.019508164405212778
0.00033884,0.9998712867274788,0.019506640096770732
0.00034277,0.9998697757664431,0.01950509236487544
0.00034674,0.9998682490100264,0.01950352909402324
0.00035075,0.9998667064457322,0.01950195029067985
0.00035481,0.9998651442125436,0.019500352025035556
0.00035892,0.9998635622944647,0.019498734305360425
0.00036308,0.9998619606753126,0.01949709714002385
0.00036728,0.9998603431904333,0.01949544447213119
0.00037154,0.9998587021209756,0.019493768440396627
0.00037584,0.9998570451547772,0.01949207692216747
0.00038019,0.9998553684232402,0.019490365991553352
0.00038459,0.9998536719092945,0.0194886356573995
0.00038905,0.9998519517382113,0.019486881996978858
0.00039355,0.9998502156063109,0.019485112883289087
0.00039811,0.999848455779806,0.019483320462757598
0.00040272,0.9998466760983272,0.01948150867631541
0.00040738,0.9998448765438507,0.01947967753332126
0.0004121,0.999843053234605,0.019477823114699755
0.00041687,0.9998412100132517,0.0194759493598355
0.0004217,0.9998393429950856,0.019474052351175827
0.00042658,0.9998374560248479,0.019472136027044985
0.00043152,0.9998355452148454,0.01947019647144173
0.00043652,0.9998336105419505,0.019468233696389052
0.00044157,0.9998316558541078,0.019466251638574527
0.00044668,0.9998296772590226,0.019464246384391024
0.00045186,0.9998276708587877,0.019462214023136054
0.00045709,0.9998256443759789,0.01946016241433717
0.00046238,0.9998235939135295,0.019458087646871965
0.00046774,0.9998215155685808,0.01945598581261795
0.00047315,0.9998194170712322,0.019453864767236248
0.00047863,0.9998172906384455,0.01945171668266834
0.00048417,0.9998151401229673,0.019449545493176457
0.00048978,0.9998129616150875,0.019447347294215434
0.00049545,0.9998107589698539,0.019445126018873597
0.00050119,0.9998085282740128,0.019442877764456995
0.00050699,0.9998062733849834,0.019440606462844748
0.00051286,0.999803990385908,0.019438308213227874
0.0005188,0.99980167924506,0.01943598303219643
0.00052481,0.9997993399303643,0.019433630936531315
0.00053088,0.9997969763041409,0.019431255855611028
0.00053703,0.999794580545745,0.019428849980950808
0.00054325,0.9997921565152184,0.019426417243132797
