##        Q2         GEp/GD        dGEp/GD    GEp/GD(all)       GMp/muGD      dGMp/muGD dGMp/muGD(all)     GEp/GD(Mz)   GMp/muGD(Mz)
  2.2387e-06   9.999995e-01   4.060041e-07   9.999995e-01   9.999994e-01   5.909510e-07   9.999994e-01   9.999995e-01   9.999994e-01
  2.2646e-06   9.999995e-01   4.107050e-07   9.999995e-01   9.999994e-01   5.977934e-07   9.999994e-01   9.999995e-01   9.999994e-01
  2.2909e-06   9.999995e-01   4.154604e-07   9.999995e-01   9.999994e-01   6.047150e-07   9.999994e-01   9.999995e-01   9.999994e-01
  2.3174e-06   9.999995e-01   4.202708e-07   9.999995e-01   9.999993e-01   6.117168e-07   9.999993e-01   9.999995e-01   9.999993e-01
  2.3442e-06   9.999995e-01   4.251370e-07   9.999995e-01   9.999993e-01   6.187996e-07   9.999993e-01   9.999995e-01   9.999993e-01
  2.3714e-06   9.999995e-01   4.300594e-07   9.999995e-01   9.999993e-01   6.259644e-07   9.999993e-01   9.999995e-01   9.999993e-01
  2.3988e-06   9.999995e-01   4.350389e-07   9.999995e-01   9.999993e-01   6.332122e-07   9.999993e-01   9.999995e-01   9.999993e-01
  2.4266e-06   9.999995e-01   4.400760e-07   9.999995e-01   9.999993e-01   6.405439e-07   9.999993e-01   9.999995e-01   9.999993e-01
  2.4547e-06   9.999995e-01   4.451715e-07   9.999995e-01   9.999993e-01   6.479605e-07   9.999993e-01   9.999995e-01   9.999993e-01
  2.4831e-06   9.999995e-01   4.503259e-07   9.999995e-01   9.999993e-01   6.554629e-07   9.999993e-01   9.999995e-01   9.999993e-01
  2.5119e-06   9.999995e-01   4.555400e-07   9.999995e-01   9.999993e-01   6.630522e-07   9.999993e-01   9.999995e-01   9.999993e-01
  2.5410e-06   9.999995e-01   4.608144e-07   9.999995e-01   9.999993e-01   6.707294e-07   9.999993e-01   9.999995e-01   9.999993e-01
  2.5704e-06   9.999995e-01   4.661500e-07   9.999995e-01   9.999993e-01   6.784954e-07   9.999993e-01   9.999995e-01   9.999993e-01
  2.6002e-06   9.999994e-01   4.715473e-07   9.999994e-01   9.999993e-01   6.863514e-07   9.999993e-01   9.999994e-01   9.999993e-01
  2.6303e-06   9.999994e-01   4.770071e-07   9.999994e-01   9.999993e-01   6.942983e-07   9.999993e-01   9.999994e-01   9.999993e-01
  2.6607e-06   9.999994e-01   4.825301e-07   9.999994e-01   9.999992e-01   7.023373e-07   9.999992e-01   9.999994e-01   9.999992e-01
  2.6915e-06   9.999994e-01   4.881170e-07   9.999994e-01   9.999992e-01   7.104693e-07   9.999992e-01   9.999994e-01   9.999992e-01
  2.7227e-06   9.999994e-01   4.937686e-07   9.999994e-01   9.999992e-01   7.186954e-07   9.999992e-01   9.999994e-01   9.999992e-01
  2.7542e-06   9.999994e-01   4.994857e-07   9.999994e-01   9.999992e-01   7.270168e-07   9.999992e-01   9.999994e-01   9.999992e-01
  2.7861e-06   9.999994e-01   5.052689e-07   9.999994e-01   9.999992e-01   7.354345e-07   9.999992e-01   9.999994e-01   9.999992e-01
  2.8184e-06   9.999994e-01   5.111191e-07   9.999994e-01   9.999992e-01   7.439497e-07   9.999992e-01   9.999994e-01   9.999992e-01
  2.8510e-06   9.999994e-01   5.170371e-07   9.999994e-01   9.999992e-01   7.525634e-07   9.999992e-01   9.999994e-01   9.999992e-01
  2.8840e-06   9.999994e-01   5.230235e-07   9.999994e-01   9.999992e-01   7.612769e-07   9.999992e-01   9.999994e-01   9.999992e-01
  2.9174e-06   9.999994e-01   5.290792e-07   9.999994e-01   9.999992e-01   7.700913e-07   9.999992e-01   9.999994e-01   9.999992e-01
  2.9512e-06   9.999994e-01   5.352051e-07   9.999994e-01   9.999992e-01   7.790077e-07   9.999992e-01   9.999994e-01   9.999992e-01
  2.9854e-06   9.999994e-01   5.414019e-07   9.999994e-01   9.999992e-01   7.880273e-07   9.999992e-01   9.999994e-01   9.999992e-01
  3.0200e-06   9.999994e-01   5.476704e-07   9.999994e-01   9.999991e-01   7.971514e-07   9.999991e-01   9.999994e-01   9.999991e-01
  3.0549e-06   9.999993e-01   5.540115e-07   9.999993e-01   9.999991e-01   8.063811e-07   9.999991e-01   9.999993e-01   9.999991e-01
  3.0903e-06   9.999993e-01   5.604260e-07   9.999993e-01   9.999991e-01   8.157176e-07   9.999991e-01   9.999993e-01   9.999991e-01
  3.1261e-06   9.999993e-01   5.669148e-07   9.999993e-01   9.999991e-01   8.251623e-07   9.999991e-01   9.999993e-01   9.999991e-01
  3.1623e-06   9.999993e-01   5.734786e-07   9.999993e-01   9.999991e-01   8.347162e-07   9.999991e-01   9.999993e-01   9.999991e-01
  3.1989e-06   9.999993e-01   5.801185e-07   9.999993e-01   9.999991e-01   8.443808e-07   9.999991e-01   9.999993e-01   9.999991e-01
  3.2359e-06   9.999993e-01   5.868353e-07   9.999993e-01   9.999991e-01   8.541573e-07   9.999991e-01   9.999993e-01   9.999991e-01
  3.2734e-06   9.999993e-01   5.936298e-07   9.999993e-01   9.999991e-01   8.640470e-07   9.999991e-01   9.999993e-01   9.999991e-01
  3.3113e-06   9.999993e-01   6.005029e-07   9.999993e-01   9.999991e-01   8.740511e-07   9.999991e-01   9.999993e-01   9.999991e-01
  3.3497e-06   9.999993e-01   6.074557e-07   9.999993e-01   9.999991e-01   8.841711e-07   9.999991e-01   9.999993e-01   9.999991e-01
  3.3884e-06   9.999993e-01   6.144889e-07   9.999993e-01   9.999990e-01   8.944082e-07   9.999990e-01   9.999993e-01   9.999990e-01
  3.4277e-06   9.999993e-01   6.216035e-07   9.999993e-01   9.999990e-01   9.047639e-07   9.999990e-01   9.999993e-01   9.999990e-01
  3.4674e-06   9.999993e-01   6.288005e-07   9.999993e-01   9.999990e-01   9.152394e-07   9.999990e-01   9.999993e-01   9.999990e-01
  3.5075e-06   9.999993e-01   6.360809e-07   9.999993e-01   9.999990e-01   9.258362e-07   9.999990e-01   9.999993e-01   9.999990e-01
  3.5481e-06   9.999992e-01   6.434455e-07   9.999992e-01   9.999990e-01   9.365557e-07   9.999990e-01   9.999992e-01   9.999990e-01
  3.5892e-06   9.999992e-01   6.508954e-07   9.999992e-01   9.999990e-01   9.473993e-07   9.999990e-01   9.999992e-01   9.999990e-01
  3.6308e-06   9.999992e-01   6.584315e-07   9.999992e-01   9.999990e-01   9.583684e-07   9.999990e-01   9.999992e-01   9.999990e-01
  3.6728e-06   9.999992e-01   6.660548e-07   9.999992e-01   9.999990e-01   9.694645e-07   9.999990e-01   9.999992e-01   9.999990e-01
  3.7154e-06   9.999992e-01   6.737665e-07   9.999992e-01   9.999989e-01   9.806890e-07   9.999989e-01   9.999992e-01   9.999989e-01
  3.7584e-06   9.999992e-01   6.815673e-07   9.999992e-01   9.999989e-01   9.920435e-07   9.999989e-01   9.999992e-01   9.999989e-01
  3.8019e-06   9.999992e-01   6.894585e-07   9.999992e-01   9.999989e-01   1.003529e-06   9.999989e-01   9.999992e-01   9.999989e-01
  3.8459e-06   9.999992e-01   6.974411e-07   9.999992e-01   9.999989e-01   1.015148e-06   9.999989e-01   9.999992e-01   9.999989e-01
  3.8905e-06   9.999992e-01   7.055160e-07   9.999992e-01   9.999989e-01   1.026902e-06   9.999989e-01   9.999992e-01   9.999989e-01
  3.9355e-06   9.999992e-01   7.136845e-07   9.999992e-01   9.999989e-01   1.038791e-06   9.999989e-01   9.999992e-01   9.999989e-01
  3.9811e-06   9.999992e-01   7.219475e-07   9.999992e-01   9.999989e-01   1.050818e-06   9.999989e-01   9.999992e-01   9.999989e-01
  4.0272e-06   9.999991e-01   7.303061e-07   9.999991e-01   9.999989e-01   1.062985e-06   9.999989e-01   9.999991e-01   9.999989e-01
  4.0738e-06   9.999991e-01   7.387616e-07   9.999991e-01   9.999988e-01   1.075292e-06   9.999988e-01   9.999991e-01   9.999988e-01
  4.1210e-06   9.999991e-01   7.473149e-07   9.999991e-01   9.999988e-01   1.087742e-06   9.999988e-01   9.999991e-01   9.999988e-01
  4.1687e-06   9.999991e-01   7.559672e-07   9.999991e-01   9.999988e-01   1.100336e-06   9.999988e-01   9.999991e-01   9.999988e-01
  4.2170e-06   9.999991e-01   7.647197e-07   9.999991e-01   9.999988e-01   1.113075e-06   9.999988e-01   9.999991e-01   9.999988e-01
  4.2658e-06   9.999991e-01   7.735735e-07   9.999991e-01   9.999988e-01   1.125962e-06   9.999988e-01   9.999991e-01   9.999988e-01
  4.3152e-06   9.999991e-01   7.825298e-07   9.999991e-01   9.999988e-01   1.138998e-06   9.999988e-01   9.999991e-01   9.999988e-01
  4.3652e-06   9.999991e-01   7.915897e-07   9.999991e-01   9.999988e-01   1.152186e-06   9.999988e-01   9.999991e-01   9.999988e-01
  4.4157e-06   9.999991e-01   8.007546e-07   9.999991e-01   9.999988e-01   1.165525e-06   9.999988e-01   9.999991e-01   9.999988e-01
  4.4668e-06   9.999990e-01   8.100255e-07   9.999990e-01   9.999987e-01   1.179020e-06   9.999987e-01   9.999990e-01   9.999987e-01
  4.5186e-06   9.999990e-01   8.194038e-07   9.999990e-01   9.999987e-01   1.192670e-06   9.999987e-01   9.999990e-01   9.999987e-01
  4.5709e-06   9.999990e-01   8.288906e-07   9.999990e-01   9.999987e-01   1.206479e-06   9.999987e-01   9.999990e-01   9.999987e-01
  4.6238e-06   9.999990e-01   8.384873e-07   9.999990e-01   9.999987e-01   1.220447e-06   9.999987e-01   9.999990e-01   9.999987e-01
  4.6774e-06   9.999990e-01   8.481950e-07   9.999990e-01   9.999987e-01   1.234577e-06   9.999987e-01   9.999990e-01   9.999987e-01
  4.7315e-06   9.999990e-01   8.580151e-07   9.999990e-01   9.999987e-01   1.248871e-06   9.999987e-01   9.999990e-01   9.999987e-01
  4.7863e-06   9.999990e-01   8.679489e-07   9.999990e-01   9.999986e-01   1.263330e-06   9.999986e-01   9.999990e-01   9.999986e-01
  4.8417e-06   9.999990e-01   8.779977e-07   9.999990e-01   9.999986e-01   1.277956e-06   9.999986e-01   9.999990e-01   9.999986e-01
  4.8978e-06   9.999990e-01   8.881628e-07   9.999990e-01   9.999986e-01   1.292752e-06   9.999986e-01   9.999990e-01   9.999986e-01
  4.9545e-06   9.999989e-01   8.984456e-07   9.999989e-01   9.999986e-01   1.307719e-06   9.999986e-01   9.999989e-01   9.999986e-01
  5.0119e-06   9.999989e-01   9.088474e-07   9.999989e-01   9.999986e-01   1.322859e-06   9.999986e-01   9.999989e-01   9.999986e-01
  5.0699e-06   9.999989e-01   9.193696e-07   9.999989e-01   9.999986e-01   1.338175e-06   9.999986e-01   9.999989e-01   9.999986e-01
  5.1286e-06   9.999989e-01   9.300136e-07   9.999989e-01   9.999985e-01   1.353668e-06   9.999985e-01   9.999989e-01   9.999985e-01
  5.1880e-06   9.999989e-01   9.407808e-07   9.999989e-01   9.999985e-01   1.369340e-06   9.999985e-01   9.999989e-01   9.999985e-01
  5.2481e-06   9.999989e-01   9.516727e-07   9.999989e-01   9.999985e-01   1.385193e-06   9.999985e-01   9.999989e-01   9.999985e-01
  5.3088e-06   9.999989e-01   9.626906e-07   9.999989e-01   9.999985e-01   1.401230e-06   9.999985e-01   9.999989e-01   9.999985e-01
  5.3703e-06   9.999989e-01   9.738361e-07   9.999989e-01   9.999985e-01   1.417453e-06   9.999985e-01   9.999989e-01   9.999985e-01
  5.4325e-06   9.999988e-01   9.851106e-07   9.999988e-01   9.999985e-01   1.433864e-06   9.999985e-01   9.999988e-01   9.999985e-01
  5.4954e-06   9.999988e-01   9.965155e-07   9.999988e-01   9.999984e-01   1.450464e-06   9.999984e-01   9.999988e-01   9.999984e-01
  5.5590e-06   9.999988e-01   1.008053e-06   9.999988e-01   9.999984e-01   1.467257e-06   9.999984e-01   9.999988e-01   9.999984e-01
  5.6234e-06   9.999988e-01   1.019723e-06   9.999988e-01   9.999984e-01   1.484244e-06   9.999984e-01   9.999988e-01   9.999984e-01
  5.6885e-06   9.999988e-01   1.031529e-06   9.999988e-01   9.999984e-01   1.501428e-06   9.999984e-01   9.999988e-01   9.999984e-01
  5.7544e-06   9.999988e-01   1.043471e-06   9.999988e-01   9.999984e-01   1.518810e-06   9.999984e-01   9.999988e-01   9.999984e-01
  5.8210e-06   9.999988e-01   1.055552e-06   9.999988e-01   9.999984e-01   1.536394e-06   9.999984e-01   9.999988e-01   9.999984e-01
  5.8884e-06   9.999987e-01   1.067772e-06   9.999987e-01   9.999983e-01   1.554181e-06   9.999983e-01   9.999987e-01   9.999983e-01
  5.9566e-06   9.999987e-01   1.080134e-06   9.999987e-01   9.999983e-01   1.572174e-06   9.999983e-01   9.999987e-01   9.999983e-01
  6.0256e-06   9.999987e-01   1.092639e-06   9.999987e-01   9.999983e-01   1.590376e-06   9.999983e-01   9.999987e-01   9.999983e-01
  6.0954e-06   9.999987e-01   1.105288e-06   9.999987e-01   9.999983e-01   1.608788e-06   9.999983e-01   9.999987e-01   9.999983e-01
  6.1660e-06   9.999987e-01   1.118084e-06   9.999987e-01   9.999983e-01   1.627413e-06   9.999983e-01   9.999987e-01   9.999983e-01
  6.2373e-06   9.999987e-01   1.131028e-06   9.999987e-01   9.999982e-01   1.646254e-06   9.999982e-01   9.999987e-01   9.999982e-01
  6.3096e-06   9.999987e-01   1.144122e-06   9.999987e-01   9.999982e-01   1.665313e-06   9.999982e-01   9.999987e-01   9.999982e-01
  6.3826e-06   9.999986e-01   1.157368e-06   9.999986e-01   9.999982e-01   1.684593e-06   9.999982e-01   9.999986e-01   9.999982e-01
  6.4565e-06   9.999986e-01   1.170767e-06   9.999986e-01   9.999982e-01   1.704095e-06   9.999982e-01   9.999986e-01   9.999982e-01
  6.5313e-06   9.999986e-01   1.184321e-06   9.999986e-01   9.999982e-01   1.723824e-06   9.999982e-01   9.999986e-01   9.999982e-01
  6.6069e-06   9.999986e-01   1.198032e-06   9.999986e-01   9.999981e-01   1.743781e-06   9.999981e-01   9.999986e-01   9.999981e-01
  6.6834e-06   9.999986e-01   1.211901e-06   9.999986e-01   9.999981e-01   1.763968e-06   9.999981e-01   9.999986e-01   9.999981e-01
  6.7608e-06   9.999986e-01   1.225931e-06   9.999986e-01   9.999981e-01   1.784390e-06   9.999981e-01   9.999986e-01   9.999981e-01
  6.8391e-06   9.999985e-01   1.240124e-06   9.999985e-01   9.999981e-01   1.805048e-06   9.999981e-01   9.999985e-01   9.999981e-01
  6.9183e-06   9.999985e-01   1.254480e-06   9.999985e-01   9.999980e-01   1.825945e-06   9.999980e-01   9.999985e-01   9.999980e-01
  6.9984e-06   9.999985e-01   1.269003e-06   9.999985e-01   9.999980e-01   1.847083e-06   9.999980e-01   9.999985e-01   9.999980e-01
  7.0795e-06   9.999985e-01   1.283694e-06   9.999985e-01   9.999980e-01   1.868467e-06   9.999980e-01   9.999985e-01   9.999980e-01
  7.1614e-06   9.999985e-01   1.298555e-06   9.999985e-01   9.999980e-01   1.890098e-06   9.999980e-01   9.999985e-01   9.999980e-01
  7.2444e-06   9.999985e-01   1.313588e-06   9.999985e-01   9.999980e-01   1.911979e-06   9.999980e-01   9.999985e-01   9.999980e-01
  7.3282e-06   9.999984e-01   1.328795e-06   9.999984e-01   9.999979e-01   1.934114e-06   9.999979e-01   9.999984e-01   9.999979e-01
  7.4131e-06   9.999984e-01   1.344178e-06   9.999984e-01   9.999979e-01   1.956505e-06   9.999979e-01   9.999984e-01   9.999979e-01
