##        Q2         GEp/GD        dGEp/GD    GEp/GD(all)       GMp/muGD      dGMp/muGD dGMp/muGD(all)     GEp/GD(Mz)   GMp/muGD(Mz)
  2.0184e-06   9.999990e-01   3.466651e-07   9.999990e-01   9.999994e-01   4.731274e-07   9.999994e-01   9.999990e-01   9.999994e-01
  2.0417e-06   9.999990e-01   3.506790e-07   9.999990e-01   9.999994e-01   4.786056e-07   9.999994e-01   9.999990e-01   9.999994e-01
  2.0654e-06   9.999990e-01   3.547394e-07   9.999990e-01   9.999994e-01   4.841472e-07   9.999994e-01   9.999990e-01   9.999994e-01
  2.0893e-06   9.999990e-01   3.588469e-07   9.999990e-01   9.999994e-01   4.897530e-07   9.999994e-01   9.999990e-01   9.999994e-01
  2.1135e-06   9.999990e-01   3.630019e-07   9.999990e-01   9.999994e-01   4.954237e-07   9.999994e-01   9.999990e-01   9.999994e-01
  2.1380e-06   9.999990e-01   3.672050e-07   9.999990e-01   9.999994e-01   5.011600e-07   9.999994e-01   9.999990e-01   9.999994e-01
  2.1627e-06   9.999989e-01   3.714567e-07   9.999989e-01   9.999994e-01   5.069628e-07   9.999994e-01   9.999989e-01   9.999994e-01
  2.1878e-06   9.999989e-01   3.757577e-07   9.999989e-01   9.999994e-01   5.128327e-07   9.999994e-01   9.999989e-01   9.999994e-01
  2.2131e-06   9.999989e-01   3.801085e-07   9.999989e-01   9.999994e-01   5.187706e-07   9.999994e-01   9.999989e-01   9.999994e-01
  2.2387e-06   9.999989e-01   3.845096e-07   9.999989e-01   9.999994e-01   5.247773e-07   9.999994e-01   9.999989e-01   9.999994e-01
  2.2646e-06   9.999989e-01   3.889617e-07   9.999989e-01   9.999994e-01   5.308535e-07   9.999994e-01   9.999989e-01   9.999994e-01
  2.2909e-06   9.999989e-01   3.934654e-07   9.999989e-01   9.999994e-01   5.370000e-07   9.999994e-01   9.999989e-01   9.999994e-01
  2.3174e-06   9.999989e-01   3.980212e-07   9.999989e-01   9.999993e-01   5.432177e-07   9.999993e-01   9.999989e-01   9.999993e-01
  2.3442e-06   9.999989e-01   4.026297e-07   9.999989e-01   9.999993e-01   5.495074e-07   9.999993e-01   9.999989e-01   9.999993e-01
  2.3714e-06   9.999988e-01   4.072917e-07   9.999988e-01   9.999993e-01   5.558699e-07   9.999993e-01   9.999988e-01   9.999993e-01
  2.3988e-06   9.999988e-01   4.120075e-07   9.999988e-01   9.999993e-01   5.623061e-07   9.999993e-01   9.999988e-01   9.999993e-01
  2.4266e-06   9.999988e-01   4.167780e-07   9.999988e-01   9.999993e-01   5.688168e-07   9.999993e-01   9.999988e-01   9.999993e-01
  2.4547e-06   9.999988e-01   4.216037e-07   9.999988e-01   9.999993e-01   5.754028e-07   9.999993e-01   9.999988e-01   9.999993e-01
  2.4831e-06   9.999988e-01   4.264853e-07   9.999988e-01   9.999993e-01   5.820651e-07   9.999993e-01   9.999988e-01   9.999993e-01
  2.5119e-06   9.999988e-01   4.314234e-07   9.999988e-01   9.999993e-01   5.888046e-07   9.999993e-01   9.999988e-01   9.999993e-01
  2.5410e-06   9.999988e-01   4.364187e-07   9.999988e-01   9.999993e-01   5.956221e-07   9.999993e-01   9.999988e-01   9.999993e-01
  2.5704e-06   9.999987e-01   4.414718e-07   9.999987e-01   9.999993e-01   6.025185e-07   9.999993e-01   9.999987e-01   9.999993e-01
  2.6002e-06   9.999987e-01   4.465834e-07   9.999987e-01   9.999993e-01   6.094947e-07   9.999993e-01   9.999987e-01   9.999993e-01
  2.6303e-06   9.999987e-01   4.517542e-07   9.999987e-01   9.999993e-01   6.165517e-07   9.999993e-01   9.999987e-01   9.999993e-01
  2.6607e-06   9.999987e-01   4.569848e-07   9.999987e-01   9.999992e-01   6.236904e-07   9.999992e-01   9.999987e-01   9.999992e-01
  2.6915e-06   9.999987e-01   4.622760e-07   9.999987e-01   9.999992e-01   6.309118e-07   9.999992e-01   9.999987e-01   9.999992e-01
