!      E0    Theta      Q^2          Sig     dSig_tot TPE(Blun) TPE(Fesh) idat      Norm TPE(extra)
  275.30    45.00   0.0409   2.1050E+03   1.9950E+01   1.0047   1.0063   29     0.035   0.0000
  275.30    55.00   0.0575   8.6030E+02   8.9820E+00   1.0051   1.0072   29     0.035   0.0000
  275.30    80.00   0.1008   1.5640E+02   1.5960E+00   1.0061   1.0090   29     0.035   0.0000
  275.30    90.00   0.1172   9.3860E+01   9.9740E-01   1.0065   1.0095   29     0.035   0.0000
  275.30   100.00   0.1323   5.9480E+01   5.9680E-01   1.0070   1.0099   29     0.035   0.0000
  275.30   110.00   0.1460   4.1200E+01   3.9900E-01   1.0075   1.0103   29     0.035   0.0000
  275.30   120.00   0.1579   3.0230E+01   2.9830E-01   1.0080   1.0106   29     0.035   0.0000
  275.30   130.00   0.1680   2.3520E+01   1.9930E-01   1.0085   1.0109   29     0.035   0.0000
  275.30   140.00   0.1763   1.9130E+01   1.8930E-01   1.0089   1.0111   29     0.035   0.0000
  275.30   150.00   0.1828   1.6240E+01   1.5910E-01   1.0092   1.0113   29     0.035   0.0000
  298.50    28.00   0.0201   1.3920E+04   1.5000E+02   1.0036   1.0045   29     0.035   0.0000
  298.50    30.00   0.0229   1.0320E+04   1.0980E+02   1.0037   1.0047   29     0.035   0.0000
  298.50    35.00   0.0305   5.3100E+03   6.0000E+01   1.0040   1.0053   29     0.035   0.0000
  298.50    40.00   0.0388   2.9590E+03   2.9990E+01   1.0042   1.0058   29     0.035   0.0000
  298.50    45.00   0.0478   1.7450E+03   1.7950E+01   1.0044   1.0063   29     0.035   0.0000
  298.50    50.00   0.0572   1.0850E+03   1.1950E+01   1.0046   1.0068   29     0.035   0.0000
  298.50    55.00   0.0669   7.0150E+02   6.9850E+00   1.0047   1.0072   29     0.035   0.0000
  298.50    60.00   0.0769   4.7150E+02   4.9950E+00   1.0049   1.0076   29     0.035   0.0000
  298.50    65.00   0.0869   3.2740E+02   3.9930E+00   1.0050   1.0080   29     0.035   0.0000
  298.50    70.00   0.0970   2.3310E+02   1.9920E+00   1.0052   1.0084   29     0.035   0.0000
 1912.00   111.51   2.6400   1.6639E-02   3.7661E-04   0.9683   1.0104   28     0.029  -0.0109
 2262.00    71.48   2.6400   4.8421E-02   8.3773E-04   0.9803   1.0085   28     0.029  -0.0079
 2842.00    47.44   2.6400   1.4090E-01   1.6674E-03   0.9880   1.0066   28     0.029  -0.0050
 3772.00    31.57   2.6400   4.1010E-01   3.3871E-03   0.9926   1.0049   28     0.029  -0.0027
 4702.00    23.82   2.6400   8.4089E-01   5.8619E-03   0.9947   1.0039   28     0.029  -0.0017
 2262.00   105.70   3.2000   7.8777E-03   2.0883E-04   0.9673   1.0102   28     0.029  -0.0128
 2842.00    59.69   3.2000   3.3563E-02   5.9267E-04   0.9839   1.0076   28     0.029  -0.0082
 3772.00    37.37   3.2000   1.1803E-01   1.2873E-03   0.9915   1.0056   28     0.029  -0.0045
 4702.00    27.57   3.2000   2.6533E-01   2.1682E-03   0.9943   1.0044   28     0.029  -0.0028
 2842.00    95.61   4.1000   3.0603E-03   9.4477E-05   0.9685   1.0098   28     0.029  -0.0150
 3772.00    48.88   4.1000   1.8727E-02   3.3682E-04   0.9888   1.0067   28     0.029  -0.0084
 4702.00    34.23   4.1000   5.0291E-02   6.1376E-04   0.9938   1.0052   28     0.029  -0.0052
 2234.80    21.97   0.6182   1.0980E+02   1.1470E+00   0.9970   1.0037   27     0.015   0.0000
 1147.80    47.97   0.6200   1.7340E+01   1.6480E-01   0.9945   1.0066   27     0.015   0.0000
 3114.30    15.97   0.6633   1.8920E+02   2.1120E+00   0.9976   1.0028   27     0.015   0.0000
 1147.80    59.99   0.8172   4.8130E+00   4.6010E-02   0.9913   1.0076   27     0.015   0.0000
 1881.70    33.95   0.8995   1.4640E+01   1.4170E-01   0.9942   1.0052   27     0.015   0.0000
 3114.30    19.46   0.9312   4.8020E+01   5.0140E-01   0.9964   1.0033   27     0.015   0.0000
 2234.80    31.95   1.1117   8.9401E+00   8.9443E-02   0.9937   1.0049   27     0.015  -0.0002
 5494.10    12.99   1.3428   4.0555E+01   5.0737E-01   0.9970   1.0023   27     0.015  -0.0001
 2234.80    42.97   1.6348   1.1863E+00   1.3292E-02   0.9901   1.0061   27     0.015  -0.0019
 3114.30    32.97   2.0354   1.0190E+00   1.0967E-02   0.9921   1.0051   27     0.015  -0.0020
 2234.80    58.97   2.2466   1.5300E-01   2.3247E-03   0.9848   1.0076   27     0.015  -0.0053
 5494.10    17.96   2.2878   2.8683E+00   3.6061E-02   0.9958   1.0031   27     0.015  -0.0008
 3114.30    40.97   2.6205   2.1335E-01   2.7655E-03   0.9899   1.0059   27     0.015  -0.0040
 2234.80    79.97   2.7802   2.8946E-02   6.3854E-04   0.9772   1.0090   27     0.015  -0.0093
 5494.10    20.47   2.7822   9.8373E-01   1.2104E-02   0.9956   1.0035   27     0.015  -0.0014
 3114.30    49.97   3.1685   5.6048E-02   9.5353E-04   0.9874   1.0068   27     0.015  -0.0066
 5494.10    22.97   3.2682   3.7778E-01   4.7123E-03   0.9955   1.0038   27     0.015  -0.0021
 3114.30    61.97   3.7261   1.5018E-02   3.4726E-04   0.9832   1.0078   27     0.015  -0.0100
 5494.10    25.47   3.7385   1.6127E-01   2.4125E-03   0.9956   1.0041   27     0.015  -0.0029
 4103.90    38.97   3.7981   4.9475E-02   8.0968E-04   0.9918   1.0057   27     0.015  -0.0058
 5494.10    27.97   4.1867   7.7791E-02   1.1586E-03   0.9957   1.0045   27     0.015  -0.0039
 3114.30    77.97   4.2330   4.3179E-03   1.3385E-04   0.9764   1.0089   27     0.015  -0.0136
 4103.90    45.96   4.4004   1.5953E-02   4.2698E-04   0.9904   1.0064   27     0.015  -0.0084
 4412.70    44.98   4.7957   1.1078E-02   2.9812E-04   0.9915   1.0063   27     0.015  -0.0089
 5494.10    32.97   5.0031   2.1621E-02   4.0799E-04   0.9959   1.0051   27     0.015  -0.0061
 4412.70    50.99   5.2612   4.9528E-03   1.4107E-04   0.9899   1.0069   27     0.015  -0.0112
 5494.10    35.48   5.3699   1.2762E-02   3.0241E-04   0.9960   1.0054   27     0.015  -0.0073
